nProc,initMaterialProperties,initMesh,initFunctionSpaces,initPostProcess,graph,matrixVector,algebraicOthers,init,ksp-niter,algebraic-assembly,algebraic-solve,solve,exportResults
128,1.2159143700e-01,2.2760594300e+00,6.6093750300e-01,9.0708642000e-02,3.4608272000e-01,1.8654925700e-01,6.4321000000e-05,4.5097836700e+00,19,3.4542091800e-01,3.1062773200e-01,6.5809906600e-01,9.1677828400e-01
256,1.2362867300e-01,1.5033889700e+00,4.7840572400e-01,6.1903482000e-02,1.1813589600e-01,3.6211038400e-01,3.0160000000e-05,3.1819345100e+00,19,2.3496012900e-01,2.4063613500e+00,2.6423985300e+00,7.9927894000e-01
384,1.2211505500e-01,1.6291026900e+00,4.4793072600e-01,4.8317818000e-02,5.6980198000e-02,4.2714177400e-01,3.7960000000e-05,3.2220218200e+00,22,2.0508143200e-01,3.6282911400e+00,3.8342432800e+00,1.0686290300e+00
512,1.2187394200e-01,2.2635685700e+00,4.1478562600e-01,5.3356314000e-02,2.5043320000e-01,2.6027529400e-01,3.1690000000e-05,3.8966749900e+00,21,3.5986217300e-01,5.5182120600e+00,5.8837084000e+00,1.3494170700e+00
640,1.2642750300e-01,1.9455363300e+00,4.1126546000e-01,7.9367204000e-02,3.1596224700e-01,4.3888142100e-01,3.2750000000e-05,3.8324187700e+00,20,1.9581928000e-01,1.2200409100e+01,1.2402038700e+01,2.6269755700e+00
768,1.4389478900e-01,1.0956197500e+00,6.1133474500e-01,6.9087759000e-02,1.6696681000e-01,1.2751007000e+00,2.7630000000e-05,4.3774152800e+00,21,3.9826991600e-01,3.3974133100e+01,3.4382698200e+01,2.0416071600e+00
