nProc,initMaterialProperties,createMesh,createSpaces,createExporters,graph,matrixVector,algebraicOthers,init,ksp-niter,createMeshTmp,algebraic-assembly,algebraic-solve,solve,exportResults
128,9.6279478000e-02,2.8820064800e+01,1.8193596800e+01,3.2421518000e-02,1.6965697900e+01,8.6485837700e+00,2.6640000000e-05,3.8513056700e+01,135,9.3231266000e-02,3.7015316000e+01,9.0484162400e+01,1.2757307300e+02,5.0188873800e+01
256,1.2395340300e-01,1.6228678900e+01,9.6308657700e+00,5.2513230000e-03,1.0692933800e+01,7.6312700900e+00,2.6561000000e-05,2.7143719000e+01,57,4.5293871000e-02,1.8924205900e+01,4.1222451200e+01,6.0379793500e+01,3.0504437700e+01
384,1.2827552300e-01,1.3683930000e+01,6.4444964100e+00,4.7191710000e-03,8.7226668300e+00,6.1202867500e+00,3.7360000000e-05,2.1363098300e+01,53,3.3107548000e-02,1.3695119600e+01,5.1431535300e+01,6.5166269600e+01,1.8463204400e+01
512,1.6469245200e-01,1.1024196800e+01,4.8989297000e+00,3.4955550000e-03,5.3259504500e+00,8.0882610100e+00,6.0750000000e-05,1.8387373900e+01,117,3.9696712000e-02,1.0009862000e+01,7.8041252400e+01,8.8071527700e+01,1.4840403500e+01
640,1.8826824800e-01,1.0689215200e+01,4.0630901000e+00,1.1276203000e-02,4.6882797500e+00,8.3899037700e+00,5.2530000000e-05,1.8613012400e+01,94,2.5880149000e-02,8.9001318600e+00,8.7996767600e+01,9.6930622200e+01,1.2814077300e+01
768,2.1724550700e-01,1.0894441400e+01,3.5965513200e+00,3.9153860000e-03,4.5305656200e+00,8.5577106200e+00,5.0161000000e-05,1.9916289600e+01,58,7.6979798000e-02,9.3416014900e+00,8.9501233900e+01,9.8862401900e+01,1.1852656100e+01
896,2.5839061600e-01,1.0908971100e+01,3.3479258500e+00,3.5126262000e-02,3.6668367100e+00,1.1360694500e+01,3.7540000000e-05,2.1443345400e+01,67,6.6813972000e-02,8.9445576700e+00,1.3444810100e+02,1.4386693700e+02,1.0720939200e+01
1024,2.0741639300e+00,7.0634826600e+00,2.7372365300e+00,5.5299430000e-03,6.5641335500e+00,5.9978043100e+00,7.6510000000e-05,1.6733212100e+01,43,6.5048639000e-02,6.5950253800e+00,7.0149409500e+01,7.6982710300e+01,9.0816159000e+00
