nProc initMesh createExporters graph matrixVector algebraicOthers init snes-niter algebraic-newton-initial-guess algebraic-jacobian algebraic-residual algebraic-nlsolve solve exportResults x
256 3.3756093300e+01 7.8704357600e-01 1.2590613800e+01 9.5433492300e+00 1.8840500000e-04 6.5152153500e+01 5 3.8085563300e-01 8.0535251500e+01 4.6039300100e+01 8.3368675700e+02 8.3372569000e+02 4.1074661000e+01 1.25
384 3.6073115400e+01 5.6072191600e-01 1.1190462700e+01 3.7238490500e+00 1.1392400000e-04 5.8099560600e+01 5 7.9997573400e-01 7.4873448800e+01 4.4395690200e+01 7.2040107500e+02 7.2064617500e+02 3.0834449600e+01 2.25
512 4.2544497200e+01 4.3171370900e-01 8.9824307100e+00 3.7693287000e+00 5.1868000000e-05 6.1054836500e+01 5 6.1626864900e-01 5.1449094000e+01 2.7586192100e+01 4.9607653000e+02 4.9636843200e+02 2.7637326100e+01 3.25
640 3.0702302400e+01 3.7315054400e-01 1.5698607300e+01 1.4859880300e+00 1.3502400000e-04 5.2930040500e+01 5 9.7664598300e-01 5.1473427400e+01 2.3280806400e+01 5.3034898700e+02 5.3057908900e+02 2.7740535300e+01 4.25
768 4.8526928700e+01 4.0554984200e-01 9.6392203400e+00 8.2554347800e+00 9.8385000000e-05 7.1442201000e+01 5 8.3075885400e-01 4.5313700300e+01 1.9944762900e+01 3.9629933600e+02 3.9640462900e+02 4.3398295700e+01 5.25
