nProc,initMaterialProperties,createMesh,createSpaces,createExporters,graph,matrixVector,algebraicOthers,init,ksp-niter,createMeshTmp,algebraic-assembly,algebraic-solve,solve,exportResults
32,1.8556195000e+00,2.1691816900e+00,8.5843856700e-01,6.0890490000e-03,1.4208177000e+00,3.0663807800e-01,4.2270000000e-05,2.3668106700e+00,21,3.3128381000e-02,2.1773797600e+00,1.6992519800e+00,3.8806420200e+00,2.3838979000e+00
64,1.2346050600e-01,1.7146231400e+00,5.4994092400e-01,6.0723610000e-03,7.2015888500e-01,4.6902053800e-01,4.8000000000e-05,1.6353411300e+00,31,2.5759751000e-02,1.1782501500e+00,1.6547593300e+00,2.8354415500e+00,1.8646870100e+00
128,1.2800464200e-01,2.4388941800e+00,2.1662567200e-01,2.3180342000e-02,3.5912660800e-01,1.7458234700e-01,6.0431000000e-05,8.4548941400e-01,29,5.2050269000e-02,7.6910187800e-01,8.5149549000e-01,1.6223382000e+00,1.1978515900e+00
256,1.3629191700e-01,8.0985942200e-01,1.1610069000e-01,1.1489339000e-02,1.2763518900e-01,2.8710282400e-01,6.6351000000e-05,6.8485181700e-01,51,5.6251013000e-02,4.8296558100e-01,4.5526199900e+00,5.0366287300e+00,1.0990297300e+00
384,1.3702706600e-01,1.4111965100e+00,9.2622580000e-02,1.5782682000e-02,9.7430185000e-02,2.9773488100e-01,3.8770000000e-05,7.0678710600e-01,46,7.4294029000e-02,8.1514142700e-01,8.9481060500e+00,9.7649459700e+00,1.5933848100e+00
512,1.5056493200e-01,1.0905762800e+00,7.9329924000e-02,2.5169130000e-02,5.1734442000e-02,3.6555002600e-01,2.4840000000e-05,8.3097828200e-01,26,4.9725410000e-02,6.6695741000e-01,1.0538847400e+01,1.1210192800e+01,1.1223221500e+00
640,1.5191931500e-01,1.4573100700e+00,7.8014727000e-02,1.7475387000e-02,5.2399938000e-02,6.0096290900e-01,2.8260000000e-05,3.8170437100e+00,23,6.6848734000e-02,1.5388090700e+00,2.7310616700e+01,2.8852909800e+01,1.1649082400e+00
768,1.4175688600e-01,2.1709473300e+00,2.9787320100e-01,7.1946650000e-03,4.2693876000e-02,1.5367586400e+00,3.7040000000e-05,4.9182127700e+00,30,6.8759402000e-02,2.0640759900e+00,4.6258648800e+01,4.8328484800e+01,1.4531332400e+00
