nProc,initMaterialProperties,initMesh,initFunctionSpaces,initPostProcess,graph,matrixVector,algebraicOthers,init,ksp-niter,algebraic-assembly,algebraic-solve,solve,exportResults
768,2.0940107700e-01,1.7468972300e+00,6.3741777200e-01,7.0368758000e-02,4.9982277100e-01,2.3364909700e+00,3.0320000000e-05,1.3356731400e+01,26,7.8452580500e-01,4.2701669000e+01,4.3502398700e+01,3.0766955900e+00
896,2.0327590100e-01,2.2733472200e+00,6.0093497200e-01,8.3659303000e-02,3.4125211300e-01,3.1683314300e+00,3.5990000000e-05,8.1242850600e+00,27,6.5273073600e-01,6.1099692800e+01,6.1763975700e+01,2.8927137700e+00
1024,2.0639198500e-01,1.5559529000e+00,5.8796726100e-01,1.2753675900e-01,6.2144358100e-01,5.1158001100e-01,3.1430000000e-05,4.3586877300e+00,27,6.0579255200e-01,3.1060104500e+01,3.1686632000e+01,2.6679515700e+00
1152,2.0125288600e-01,1.6127071000e+00,5.8981169000e-01,3.6499914300e-01,1.0163956400e-01,9.1146615400e-01,3.5731000000e-05,4.7368318100e+00,26,3.9584179100e-01,2.8388142900e+01,2.8817305400e+01,3.3033876900e+00
1280,2.1090202000e-01,2.5263821100e+00,5.5441298900e-01,3.1961478700e-01,5.3980467700e-01,4.7696878600e-01,2.9421000000e-05,5.4792223500e+00,27,3.7619856600e-01,3.1222273500e+01,3.1601417600e+01,3.0258266900e+00
