nProc,initMaterialProperties,initMesh,initFunctionSpaces,initPostProcess,graph,matrixVector,algebraicOthers,init,ksp-niter,algebraic-assembly,algebraic-solve,solve,exportResults
640,4.4491400000e-04,2.1732103400e+00,9.5973800400e-01,5.0494403000e-02,1.3898614700e+00,1.6806650500e+00,3.8390000000e-05,7.0443629000e+00,44,1.7689990200e+00,4.6284469300e+01,4.8075974900e+01,3.0016306400e+00
768,5.8934500000e-04,2.3982832000e+00,8.4805869500e-01,6.2068321000e-02,1.4264228900e+00,1.5009238400e+00,3.7330000000e-05,7.3144058000e+00,43,1.6017413700e+00,6.5836430200e+01,6.7476190000e+01,2.4725984200e+00
896,5.4982500000e-04,2.3019797500e+00,7.8467612700e-01,1.0806108400e-01,1.3219004700e+00,2.8279014200e+00,3.4260000000e-05,8.8945250700e+00,43,1.5163562100e+00,6.5948378600e+01,6.7488718800e+01,3.0133387900e+00
1024,4.2770400000e-04,1.3678673100e+00,7.8509388100e-01,7.0090768000e-02,1.5034407900e+00,8.6866450500e-01,4.2680000000e-05,5.7423838800e+00,43,1.2486861400e+00,4.4307065700e+01,4.5585569000e+01,3.0055180400e+00
1152,6.2707500000e-04,2.3136228700e+00,4.9890980500e-01,1.1373103300e-01,6.6522563600e-01,1.9390517100e+00,4.7851000000e-05,6.8503261400e+00,42,1.1097118700e+00,4.1907769300e+01,4.3222282300e+01,2.9576937600e+00
1280,4.6471500000e-04,1.6861913100e+00,7.2101455400e-01,3.2862174100e-01,1.3394583200e+00,9.0421259600e-01,4.4621000000e-05,6.2617915200e+00,43,9.7346972000e-01,4.7209356900e+01,4.8194864000e+01,3.5538268600e+00
