Mesh,FunctionSpace,PolyOrder,Normal_Heat_Flux_alpha,Normal_Heat_Flux_beta,Normal_Heat_Flux_gamma,Points_alpha_max_field_temperature,Points_alpha_min_field_temperature,Points_beta_max_field_temperature,Points_beta_min_field_temperature,Statistics_temperature_alpha_max,Statistics_temperature_alpha_min,Statistics_temperature_beta_max,Statistics_temperature_beta_min
1,1,1,4.3664487331567940e+01,1.3234932512920267e+01,-5.7485182388700139e+01,1.7902222158287383e+01,1.1304867204491277e+01,1.6842788433387280e+01,1.1082223535205555e+01,1.7902169501965489e+01,1.1371956387817605e+01,1.6842741345767166e+01,1.1112161991304177e+01
1,2,2,4.5920349299502369e+01,1.3860839175855748e+01,-5.9806133448075506e+01,1.7901891073029908e+01,1.1321657526014533e+01,1.6842480672480740e+01,1.1112744631863260e+01,1.7901884718433479e+01,1.1396092677993355e+01,1.6842475256850463e+01,1.1143124253065611e+01
1,3,3,4.6057445284140442e+01,1.3894513993257846e+01,-5.9932960345290191e+01,1.7901922351104183e+01,1.1321569384690871e+01,1.6842508560988644e+01,1.1114398838330514e+01,1.7901915877032060e+01,1.1396995559840580e+01,1.6842502832766989e+01,1.1143633112408436e+01
2,1,1,4.4799717162042043e+01,1.3536694138922140e+01,-5.8623721773288175e+01,1.7901960933620234e+01,1.1316057276332904e+01,1.6842559410775841e+01,1.1102053394597020e+01,1.7901947772540517e+01,1.1352070586155065e+01,1.6842547950221018e+01,1.1120965153494268e+01
2,2,2,4.6023155452834246e+01,1.3870834660787196e+01,-5.9901921733220760e+01,1.7901920397938451e+01,1.1321516669751611e+01,1.6842506098598843e+01,1.1112662135288588e+01,1.7901918798251351e+01,1.1359716866255161e+01,1.6842504741471132e+01,1.1130881826387943e+01
2,3,3,4.6082178422527484e+01,1.3890641287101072e+01,-5.9966446141339631e+01,1.7901933390180247e+01,1.1321800155485697e+01,1.6842517834979930e+01,1.1114019895592506e+01,1.7901931776794832e+01,1.1359728626976997e+01,1.6842516438673741e+01,1.1130496826523419e+01
3,1,1,4.5404732072008386e+01,1.3697310338161632e+01,-5.9247837752897944e+01,1.7901926646209294e+01,1.1315266440423787e+01,1.6842514869191447e+01,1.1110162730392528e+01,1.7901922868030713e+01,1.1334933610620965e+01,1.6842511882689585e+01,1.1119212975395500e+01
3,2,2,4.6064679339355280e+01,1.3880897977609173e+01,-5.9949624528822426e+01,1.7901933036973887e+01,1.1320371543754488e+01,1.6842517415665746e+01,1.1114439036646937e+01,1.7901932634720737e+01,1.1340271948667160e+01,1.6842517067408572e+01,1.1122516688150915e+01
3,3,3,4.6090709601683052e+01,1.3893796991275430e+01,-5.9981056917149459e+01,1.7901937306746408e+01,1.1321319392070992e+01,1.6842521026539728e+01,1.1114939976301162e+01,1.7901936894298874e+01,1.1340481302633263e+01,1.6842520632463181e+01,1.1121713423681232e+01
