nProc,initMaterialProperties,initMesh,initFunctionSpaces,initPostProcess,graph,matrixVector,algebraicOthers,init,ksp-niter,algebraic-assembly,algebraic-solve,solve,exportResults
128,1.2221492700e-01,6.4238565900e-01,3.6209233900e-01,1.4458699000e-02,2.8710427000e-02,1.6634969500e-01,3.8690000000e-05,1.7349843500e+00,26,1.8110100400e-01,1.6613907700e-01,3.4788501700e-01,4.3714443000e-01
256,1.2188734100e-01,6.0933554400e-01,3.5646670400e-01,2.8591517000e-02,1.3059219000e-02,1.9658095800e-01,2.6620000000e-05,1.7128140300e+00,27,1.4065624800e-01,1.0622557300e+00,1.2033874000e+00,5.3369217400e-01
384,1.2437320600e-01,1.1830958100e+00,3.6205980200e-01,2.8347095000e-02,6.0365400000e-03,2.3218801700e-01,2.9640000000e-05,2.3419577800e+00,26,1.4211633500e-01,2.2203140900e+00,2.3628567800e+00,6.6711084200e-01
512,1.2767371800e-01,7.8678474100e-01,3.5101679900e-01,3.9970829000e-02,7.2165000000e-03,2.5982411000e-01,2.5400000000e-05,2.1693036200e+00,27,1.5817408500e-01,2.9846153300e+00,3.1432860800e+00,9.1241879800e-01
640,1.2444258600e-01,1.1941529300e+00,3.6527525700e-01,2.5397164200e-01,1.5870359000e-02,4.1670653600e-01,2.9171000000e-05,3.2150332700e+00,27,1.6181011200e-01,5.9518735500e+00,6.1184470600e+00,1.4622789000e+00
768,1.2181068100e-01,1.0041638400e+00,5.8097881600e-01,6.3973814000e-02,5.4210090000e-03,1.3031381700e+00,3.8400000000e-05,4.2390728400e+00,27,3.4788091100e-01,3.2163671600e+01,3.2518294900e+01,1.5505736000e+00
