nProc,initMaterialProperties,initMesh,initFunctionSpaces,initPostProcess,graph,matrixVector,algebraicOthers,init,ksp-niter,algebraic-assembly,algebraic-solve,solve,exportResults
768,2.0043945700e-01,1.1550174700e+00,5.0253279600e-01,6.2502142000e-02,2.1611302000e-02,1.4874120600e+00,3.4240000000e-05,1.1076939400e+01,27,5.4320486400e-01,2.4804235300e+01,2.5355764200e+01,1.7623572400e+00
896,2.0443952700e-01,2.1696371700e+00,5.0451176400e-01,7.6830519000e-02,2.4296902800e-01,2.9201949700e+00,2.5970000000e-05,7.1910087400e+00,27,5.1984655500e-01,4.0220041100e+01,4.0945942000e+01,1.7758572400e+00
1024,2.1300895700e-01,2.2501775000e+00,5.0940512800e-01,3.2543927400e-01,2.8915860000e-02,5.3961488200e-01,2.9170000000e-05,4.5474326000e+00,27,5.1770846700e-01,1.2049986500e+01,1.2777072900e+01,2.2439947000e+00
1152,1.9801998700e-01,3.1553701500e+00,3.0040711100e-01,5.2593783700e-01,1.0873629000e-02,3.8018388500e-01,2.5940000000e-05,5.2566829000e+00,28,2.9549906300e-01,2.0276598900e+01,2.0572906000e+01,2.6340414500e+00
1280,2.0617758400e-01,2.6577875100e+00,5.1298211700e-01,1.3591860900e+00,4.9517851000e-02,3.5371247800e-01,3.0560000000e-05,6.8186289000e+00,28,2.8321354300e-01,2.0927082900e+01,2.1212091800e+01,2.6108234200e+00
